Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,Ballot Boxes Reported,Date,Time
RCE,Richmond East,Gian Sihota,BC NDP,2281,28.34%,70 of 144,14/05/2013,09:18:08 PM
RCE,Richmond East,Cliff Wei,Independent,55,0.68%,70 of 144,14/05/2013,09:18:08 PM
RCS,Richmond-Steveston,Carol Day,BC Conservative Party,1374,11.33%,97 of 150,14/05/2013,09:18:08 PM
RCS,Richmond-Steveston,Jerome James Dickey,Green Party of BC,1016,8.38%,97 of 150,14/05/2013,09:18:08 PM
RCS,Richmond-Steveston,Mike Donovan,Unparty: The Consensus-Building Party,80,0.66%,97 of 150,14/05/2013,09:18:08 PM
RCS,Richmond-Steveston,Scott Stewart,BC NDP,3390,27.96%,97 of 150,14/05/2013,09:18:08 PM
RCS,Richmond-Steveston,John Yap,BC Liberal Party,6264,51.67%,97 of 150,14/05/2013,09:18:08 PM
SAN,Saanich North and the Islands,Gary Holman,BC NDP,1124,39.72%,24 of 162,14/05/2013,09:18:08 PM
SAN,Saanich North and the Islands,Scott McEachern,Independent,41,1.45%,24 of 162,14/05/2013,09:18:08 PM
SAN,Saanich North and the Islands,Adam Olsen,Green Party of BC,857,30.28%,24 of 162,14/05/2013,09:18:08 PM
SAN,Saanich North and the Islands,Stephen P. Roberts,BC Liberal Party,808,28.55%,24 of 162,14/05/2013,09:18:08 PM
SAS,Saanich South,Joshua Galbraith,BC Conservative Party,188,2.83%,40 of 121,14/05/2013,09:18:08 PM
SAS,Saanich South,Peter Kappel,Independent,32,0.48%,40 of 121,14/05/2013,09:18:08 PM
SAS,Saanich South,Branko Mustafovic,Green Party of BC,1102,16.61%,40 of 121,14/05/2013,09:18:08 PM
SAS,Saanich South,Lana Popham,BC NDP,3052,45.99%,40 of 121,14/05/2013,09:18:08 PM
SAS,Saanich South,Rishi Sharma,BC Liberal Party,2262,34.09%,40 of 121,14/05/2013,09:18:08 PM
SHU,Shuswap,Tom Birch,BC Conservative Party,652,11.68%,49 of 166,14/05/2013,09:18:08 PM
SHU,Shuswap,Chris George,Green Party of BC,592,10.60%,49 of 166,14/05/2013,09:18:08 PM
SHU,Shuswap,Steve Gunner,BC NDP,1376,24.64%,49 of 166,14/05/2013,09:18:08 PM
SHU,Shuswap,Greg Kyllo,BC Liberal Party,2950,52.83%,49 of 166,14/05/2013,09:18:08 PM
SHU,Shuswap,Johanna Zalcik,Advocational Party,14,0.25%,49 of 166,14/05/2013,09:18:08 PM
SKE,Skeena,Robin Austin,BC NDP,2085,43.86%,41 of 82,14/05/2013,09:18:08 PM
SKE,Skeena,Mike Brousseau,BC Conservative Party,323,6.79%,41 of 82,14/05/2013,09:18:08 PM
SKE,Skeena,Trevor Hendry,British Columbia Party,91,1.91%,41 of 82,14/05/2013,09:18:08 PM
SKE,Skeena,Carol Joan Leclerc,BC Liberal Party,2255,47.43%,41 of 82,14/05/2013,09:18:08 PM
SKN,Stikine,Roger Benham,Green Party of BC,87,4.55%,18 of 67,14/05/2013,09:18:08 PM
SKN,Stikine,Jonathan Dieleman,BC Conservative Party,139,7.27%,18 of 67,14/05/2013,09:18:08 PM
SKN,Stikine,Doug Donaldson,BC NDP,919,48.06%,18 of 67,14/05/2013,09:18:08 PM
SKN,Stikine,Sharon Hartwell,BC Liberal Party,640,33.47%,18 of 67,14/05/2013,09:18:08 PM
SKN,Stikine,Jesse O'Leary,Independent,21,1.10%,18 of 67,14/05/2013,09:18:08 PM
SKN,Stikine,Rod Taylor,Christian Heritage Party of B.C.,106,5.54%,18 of 67,14/05/2013,09:18:08 PM
SRC,Surrey-Cloverdale,Matt William Begley, ,230,3.66%,53 of 183,14/05/2013,09:18:08 PM
SRC,Surrey-Cloverdale,Stephanie Cadieux,BC Liberal Party,3860,61.45%,53 of 183,14/05/2013,09:18:08 PM
SRC,Surrey-Cloverdale,Harry Kooner,BC NDP,1765,28.10%,53 of 183,14/05/2013,09:18:08 PM
SRC,Surrey-Cloverdale,Howard Wu,BC Conservative Party,427,6.80%,53 of 183,14/05/2013,09:18:08 PM
SRF,Surrey-Fleetwood,Tim Binnema,Green Party of BC,252,6.53%,30 of 120,14/05/2013,09:18:08 PM
SRF,Surrey-Fleetwood,Jagrup Brar,BC NDP,1527,39.57%,30 of 120,14/05/2013,09:18:08 PM
SRF,Surrey-Fleetwood,Peter Fassbender,BC Liberal Party,1919,49.73%,30 of 120,14/05/2013,09:18:08 PM
SRF,Surrey-Fleetwood,Murali Krishnan,BC Conservative Party,153,3.96%,30 of 120,14/05/2013,09:18:08 PM
SRF,Surrey-Fleetwood,Arvin Kumar (AK),B.C. Vision,8,0.21%,30 of 120,14/05/2013,09:18:08 PM
SRG,Surrey-Green Timbers,Sue Hammell,BC NDP,2703,57.43%,37 of 96,14/05/2013,09:18:08 PM
SRG,Surrey-Green Timbers,Harjit Singh Heir,B.C. Vision,25,0.53%,37 of 96,14/05/2013,09:18:08 PM
SRG,Surrey-Green Timbers,Richard Hosein,Green Party of BC,192,4.08%,37 of 96,14/05/2013,09:18:08 PM
SRG,Surrey-Green Timbers,Lisa Maharaj,BC Conservative Party,127,2.70%,37 of 96,14/05/2013,09:18:08 PM
SRG,Surrey-Green Timbers,Amrik Tung,BC Liberal Party,1660,35.27%,37 of 96,14/05/2013,09:18:08 PM
SRN,Surrey-Newton,Harry Bains,BC NDP,1530,54.64%,27 of 110,14/05/2013,09:18:08 PM
SRN,Surrey-Newton,Alan Saldanha,Helping Hand Party,46,1.64%,27 of 110,14/05/2013,09:18:08 PM
SRN,Surrey-Newton,Satinder Singh,BC Conservative Party,109,3.89%,27 of 110,14/05/2013,09:18:08 PM
SRN,Surrey-Newton,Sukhminder S. Virk,BC Liberal Party,1115,39.82%,27 of 110,14/05/2013,09:18:08 PM
SRP,Surrey-Panorama,Marvin Hunt,BC Liberal Party,4910,55.82%,62 of 151,14/05/2013,09:18:08 PM
SRP,Surrey-Panorama,Amrik Mahil,BC NDP,2946,33.49%,62 of 151,14/05/2013,09:18:08 PM
SRP,Surrey-Panorama,Kevin Rakhra,BC Conservative Party,392,4.46%,62 of 151,14/05/2013,09:18:08 PM
SRP,Surrey-Panorama,Sara Sharma,Green Party of BC,533,6.06%,62 of 151,14/05/2013,09:18:08 PM
SRP,Surrey-Panorama,Ali Zaidi, ,15,0.17%,62 of 151,14/05/2013,09:18:08 PM
SRT,Surrey-Tynehead,Avtar Bains,BC NDP,1879,40.37%,47 of 121,14/05/2013,09:18:08 PM
SRT,Surrey-Tynehead,Sukhi Gill,B.C. Vision,100,2.15%,47 of 121,14/05/2013,09:18:08 PM
SRT,Surrey-Tynehead,Barry J. Sikora,BC Conservative Party,614,13.19%,47 of 121,14/05/2013,09:18:08 PM
SRT,Surrey-Tynehead,Amrik Virk,BC Liberal Party,2061,44.28%,47 of 121,14/05/2013,09:18:08 PM
SWH,Surrey-Whalley,Jag Bhandari (JB),B.C. Vision,99,2.49%,38 of 124,14/05/2013,09:18:08 PM
SWH,Surrey-Whalley,Sunny Chohan,BC Conservative Party,267,6.71%,38 of 124,14/05/2013,09:18:08 PM
SWH,Surrey-Whalley,Kuljeet Kaur,BC Liberal Party,1277,32.10%,38 of 124,14/05/2013,09:18:08 PM
SWH,Surrey-Whalley,Bruce Ralston,BC NDP,2335,58.70%,38 of 124,14/05/2013,09:18:08 PM
SWR,Surrey-White Rock,Gordon Hogg,BC Liberal Party,4756,58.98%,70 of 147,14/05/2013,09:18:08 PM
SWR,Surrey-White Rock,Susan Keeping,BC NDP,2137,26.50%,70 of 147,14/05/2013,09:18:08 PM
SWR,Surrey-White Rock,Jim Laurence,British Columbia Party,30,0.37%,70 of 147,14/05/2013,09:18:08 PM
SWR,Surrey-White Rock,Elizabeth Morales Pagtakhan,BC Conservative Party,383,4.75%,70 of 147,14/05/2013,09:18:08 PM
SWR,Surrey-White Rock,Don Pitcairn,Green Party of BC,758,9.40%,70 of 147,14/05/2013,09:18:08 PM
VFA,Vancouver-Fairview,George Heyman,BC NDP,1190,45.21%,23 of 148,14/05/2013,09:18:08 PM
VFA,Vancouver-Fairview,Margaret MacDiarmid,BC Liberal Party,1123,42.67%,23 of 148,14/05/2013,09:18:08 PM
VFA,Vancouver-Fairview,Matthew Pedley,Green Party of BC,319,12.12%,23 of 148,14/05/2013,09:18:08 PM
VFC,Vancouver-False Creek,James Filippelli,YPP,30,0.70%,46 of 155,14/05/2013,09:18:08 PM
VFC,Vancouver-False Creek,Sam Sullivan,BC Liberal Party,2147,50.41%,46 of 155,14/05/2013,09:18:08 PM
VFC,Vancouver-False Creek,Matt Toner,BC NDP,1619,38.01%,46 of 155,14/05/2013,09:18:08 PM
VFC,Vancouver-False Creek,Ian James Tootill, ,42,0.99%,46 of 155,14/05/2013,09:18:08 PM
VFC,Vancouver-False Creek,Daniel Tseghay,Green Party of BC,403,9.46%,46 of 155,14/05/2013,09:18:08 PM
VFC,Vancouver-False Creek,Sal Vetro,BC First,18,0.42%,46 of 155,14/05/2013,09:18:08 PM
VFV,Vancouver-Fraserview,Suzanne Anton,BC Liberal Party,1539,48.27%,26 of 132,14/05/2013,09:18:08 PM
VFV,Vancouver-Fraserview,Stuart Mackinnon,Green Party of BC,165,5.18%,26 of 132,14/05/2013,09:18:08 PM
VFV,Vancouver-Fraserview,Rajiv Pandey,BC Conservative Party,89,2.79%,26 of 132,14/05/2013,09:18:08 PM
VFV,Vancouver-Fraserview,Gabriel Yiu,BC NDP,1395,43.76%,26 of 132,14/05/2013,09:18:08 PM
VHA,Vancouver-Hastings,Fatima Siddiqui,BC Liberal Party,1727,28.35%,51 of 136,14/05/2013,09:18:08 PM
VHA,Vancouver-Hastings,Shane Simpson,BC NDP,3616,59.36%,51 of 136,14/05/2013,09:18:08 PM
VHA,Vancouver-Hastings,Brennan Wauters,Green Party of BC,623,10.23%,51 of 136,14/05/2013,09:18:08 PM
VHA,Vancouver-Hastings,Carrol B. Woolsey,BC Social Credit Party,126,2.07%,51 of 136,14/05/2013,09:18:08 PM
VKE,Vancouver-Kensington,Mable Elmore,BC NDP,1069,44.93%,18 of 116,14/05/2013,09:18:08 PM
VKE,Vancouver-Kensington,Chris Fjell,Green Party of BC,166,6.98%,18 of 116,14/05/2013,09:18:08 PM
VKE,Vancouver-Kensington,Raj Gupta,BC Conservative Party,57,2.40%,18 of 116,14/05/2013,09:18:08 PM
VKE,Vancouver-Kensington,Gabby Kalaw,BC Liberal Party,1087,45.69%,18 of 116,14/05/2013,09:18:08 PM
VKI,Vancouver-Kingsway,Gurjit Dhillon,BC Liberal Party,1662,36.26%,45 of 140,14/05/2013,09:18:08 PM
VKI,Vancouver-Kingsway,Adrian Dix,BC NDP,2594,56.60%,45 of 140,14/05/2013,09:18:08 PM
VKI,Vancouver-Kingsway,Gregory Dale Esau,Green Party of BC,327,7.14%,45 of 140,14/05/2013,09:18:08 PM
VLA,Vancouver-Langara,Gurjinder Bains,BC Conservative Party,202,3.70%,53 of 128,14/05/2013,09:18:08 PM
VLA,Vancouver-Langara,George Chow,BC NDP,2041,37.36%,53 of 128,14/05/2013,09:18:08 PM
VLA,Vancouver-Langara,Espavo Sozo,The Platinum Party,11,0.20%,53 of 128,14/05/2013,09:18:08 PM
VLA,Vancouver-Langara,Moira Stilwell,BC Liberal Party,2847,52.11%,53 of 128,14/05/2013,09:18:08 PM
VLA,Vancouver-Langara,Regan-Heng Zhang,Green Party of BC,362,6.63%,53 of 128,14/05/2013,09:18:08 PM
VMP,Vancouver-Mount Pleasant,William Austin,BC Marijuana Party,162,1.71%,101 of 173,14/05/2013,09:18:08 PM
VMP,Vancouver-Mount Pleasant,Jeremy Gustafson,Independent,132,1.40%,101 of 173,14/05/2013,09:18:08 PM
VMP,Vancouver-Mount Pleasant,Barinder Hans,Green Party of BC,1100,11.64%,101 of 173,14/05/2013,09:18:08 PM
VMP,Vancouver-Mount Pleasant,Jenny Wai Ching Kwan,BC NDP,6176,65.38%,101 of 173,14/05/2013,09:18:08 PM
VMP,Vancouver-Mount Pleasant,Peter Marcus,Communist Party of BC,59,0.62%,101 of 173,14/05/2013,09:18:08 PM
VMP,Vancouver-Mount Pleasant,Celyna Sia Sherst,BC Liberal Party,1818,19.24%,101 of 173,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,Christy Clark,BC Liberal Party,2360,46.54%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,David Eby,BC NDP,2272,44.80%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,William Gibbens,Independent,16,0.32%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,Hollis Jacob Linschoten,Work Less Party,10,0.20%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,Duane Nickull,BC Conservative Party,84,1.66%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,Marisa Palmer,Libertarian,10,0.20%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,Françoise Raunet,Green Party of BC,317,6.25%,44 of 147,14/05/2013,09:18:08 PM
VNP,Vancouver-Point Grey,Bernard Bedu Yankson,The Platinum Party,2,0.04%,44 of 147,14/05/2013,09:18:08 PM
VNQ,Vancouver-Quilchena,Bill Clarke, ,341,3.57%,80 of 132,14/05/2013,09:18:08 PM
VNQ,Vancouver-Quilchena,Damian Kettlewell,Green Party of BC,734,7.68%,80 of 132,14/05/2013,09:18:08 PM
VNQ,Vancouver-Quilchena,Nicholas Scapillati,BC NDP,2346,24.55%,80 of 132,14/05/2013,09:18:08 PM
VNQ,Vancouver-Quilchena,Andrew Franklin Wilkinson,BC Liberal Party,6136,64.20%,80 of 132,14/05/2013,09:18:08 PM
VNW,Vancouver-West End,Spencer Chandra Herbert,BC NDP,1623,60.60%,38 of 161,14/05/2013,09:18:08 PM
VNW,Vancouver-West End,John Clarke,Libertarian,67,2.50%,38 of 161,14/05/2013,09:18:08 PM
VNW,Vancouver-West End,Jodie Emery,Green Party of BC,318,11.87%,38 of 161,14/05/2013,09:18:08 PM
VNW,Vancouver-West End,Scott Harrison,BC Liberal Party,642,23.97%,38 of 161,14/05/2013,09:18:08 PM
VNW,Vancouver-West End,Ronald Guillermo Herbert, ,13,0.49%,38 of 161,14/05/2013,09:18:08 PM
VNW,Vancouver-West End,Mathew David Kagis,Work Less Party,15,0.56%,38 of 161,14/05/2013,09:18:08 PM
VRM,Vernon-Monashee,Scott Anderson,BC Conservative Party,1200,12.41%,94 of 184,14/05/2013,09:18:08 PM
VRM,Vernon-Monashee,Eric Bailey Foster,BC Liberal Party,4565,47.22%,94 of 184,14/05/2013,09:18:08 PM
VRM,Vernon-Monashee,Rebecca Helps,Green Party of BC,719,7.44%,94 of 184,14/05/2013,09:18:08 PM
VRM,Vernon-Monashee,Mark Steven Olsen,BC NDP,3136,32.44%,94 of 184,14/05/2013,09:18:08 PM
VRM,Vernon-Monashee,Korry Zepik,Independent,47,0.49%,94 of 184,14/05/2013,09:18:08 PM
VTB,Victoria-Beacon Hill,Karen Bill,BC Liberal Party,755,17.55%,35 of 166,14/05/2013,09:18:08 PM
VTB,Victoria-Beacon Hill,Carole James,BC NDP,2056,47.78%,35 of 166,14/05/2013,09:18:08 PM
VTB,Victoria-Beacon Hill,John Shaw,Communist Party of BC,24,0.56%,35 of 166,14/05/2013,09:18:08 PM
VTB,Victoria-Beacon Hill,Jane Sterk,Green Party of BC,1468,34.12%,35 of 166,14/05/2013,09:18:08 PM
VTS,Victoria-Swan Lake,Christina Bates,BC Liberal Party,1821,23.06%,75 of 159,14/05/2013,09:18:08 PM
VTS,Victoria-Swan Lake,Rob Fleming,BC NDP,4179,52.92%,75 of 159,14/05/2013,09:18:08 PM
VTS,Victoria-Swan Lake,Spencer Alexander Malthouse,Green Party of BC,1897,24.02%,75 of 159,14/05/2013,09:18:08 PM
WCA,West Vancouver-Capilano,Tunya Audain,Libertarian,144,1.50%,84 of 139,14/05/2013,09:18:08 PM
WCA,West Vancouver-Capilano,David Jones,BC Conservative Party,464,4.83%,84 of 139,14/05/2013,09:18:08 PM
WCA,West Vancouver-Capilano,Michael Markwick,Independent,484,5.04%,84 of 139,14/05/2013,09:18:08 PM
WCA,West Vancouver-Capilano,Terry Platt,BC NDP,2170,22.60%,84 of 139,14/05/2013,09:18:08 PM
WCA,West Vancouver-Capilano,Ralph Sultan,BC Liberal Party,6338,66.02%,84 of 139,14/05/2013,09:18:08 PM
WSS,West Vancouver-Sea to Sky,Jon Johnson,Independent,38,1.49%,21 of 118,14/05/2013,09:18:08 PM
WSS,West Vancouver-Sea to Sky,Ian McLeod,BC Conservative Party,83,3.25%,21 of 118,14/05/2013,09:18:08 PM
WSS,West Vancouver-Sea to Sky,Ana Santos,BC NDP,1170,45.77%,21 of 118,14/05/2013,09:18:08 PM
WSS,West Vancouver-Sea to Sky,Jordan Sturdy,BC Liberal Party,965,37.75%,21 of 118,14/05/2013,09:18:08 PM
WSS,West Vancouver-Sea to Sky,Richard Warrington,Green Party of BC,300,11.74%,21 of 118,14/05/2013,09:18:08 PM
WTK,Westside-Kelowna,Carole Gordon,BC NDP,1896,30.86%,67 of 169,14/05/2013,09:18:08 PM
WTK,Westside-Kelowna,Brian Guillou,BC Conservative Party,732,11.92%,67 of 169,14/05/2013,09:18:08 PM
WTK,Westside-Kelowna,Ben Stewart,BC Liberal Party,3515,57.22%,67 of 169,14/05/2013,09:18:08 PM
